candidate_id,rank,score,reasoning
CAND_0000031,1,0.4328938808206922,Strong semantic match (Score: 43.3) with 6.0 years of experience. Exceptional open-source presence (GitHub score: 32.6). Highly responsive to recruiter outreach. Actively looking for new opportunities. Strong academic pedigree. High recruiter demand in the last 30 days.
CAND_0000184,2,0.427812280598467,Strong semantic match (Score: 42.8) with 4.9 years of experience. Available to join almost immediately. Exceptional open-source presence (GitHub score: 17.8). Scored exceptionally on platform assessments (68.22/100). Graduate of a top-tier institution. High recruiter demand in the last 30 days.
CAND_0000317,3,0.4033661350035668,Strong semantic match (Score: 40.3) with 3.1 years of experience. Available to join almost immediately. Actively looking for new opportunities. Graduate of a top-tier institution. Has relevant certifications.
CAND_0000273,4,0.38115457368250205,Strong semantic match (Score: 38.1) with 5.8 years of experience. Exceptional open-source presence (GitHub score: 29.2). Actively looking for new opportunities. Reliable interview attendance record. High recruiter demand in the last 30 days.
CAND_0000249,5,0.3567990571221402,Strong semantic match (Score: 35.7) with 9.1 years of experience. Available to join almost immediately.
CAND_0000165,6,0.34459518103528214,Strong semantic match (Score: 34.5) with 6.8 years of experience. Exceptional open-source presence (GitHub score: 61.5). Actively looking for new opportunities. Scored exceptionally on platform assessments (77.88/100). Graduate of a top-tier institution. Has relevant certifications. Reliable interview attendance record. High recruiter demand in the last 30 days.
CAND_0000422,7,0.32865115008174633,Strong semantic match (Score: 32.9) with 6.3 years of experience. Highly responsive to recruiter outreach. Actively looking for new opportunities. Scored exceptionally on platform assessments (76.9/100). Has relevant certifications. Reliable interview attendance record. High recruiter demand in the last 30 days.
CAND_0000075,8,0.3013556566637646,Strong semantic match (Score: 30.1) with 5.2 years of experience. Available to join almost immediately. Exceptional open-source presence (GitHub score: 27.8). Scored exceptionally on platform assessments (74.0/100). Strong academic pedigree.
CAND_0000426,9,0.29627865424569705,Strong semantic match (Score: 29.6) with 5.9 years of experience. Available to join almost immediately. Graduate of a top-tier institution. Has relevant certifications. High recruiter demand in the last 30 days.
CAND_0000001,10,0.2925418454819496,Strong semantic match (Score: 29.3) with 6.9 years of experience. Actively looking for new opportunities.
CAND_0000331,11,0.2925031882204276,Strong semantic match (Score: 29.3) with 5.5 years of experience. Available to join almost immediately. Exceptional open-source presence (GitHub score: 59.1). High recruiter demand in the last 30 days.
CAND_0000023,12,0.2919155444475617,Strong semantic match (Score: 29.2) with 3.7 years of experience. Available to join almost immediately. Exceptional open-source presence (GitHub score: 48.5). Strong academic pedigree. Reliable interview attendance record. High recruiter demand in the last 30 days.
CAND_0000112,13,0.26453053996215414,Strong semantic match (Score: 26.5) with 3.8 years of experience. Exceptional open-source presence (GitHub score: 79.4). Graduate of a top-tier institution. Reliable interview attendance record.
